Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
Microservices ,Microservices,Tech,Software Development,Architecture,N/A,Theoretical,
What is pcb fabrication? ,What is pcb fabrication?,Tech,Electronics,PCB Design,N/A,Theoretical,
Why do u use bootstrap? ,Why do u use bootstrap?,Tech,Web Development,CSS Framework,Bootstrap,Theoretical,
Program for fibanochi ,Program for fibanochi,Tech,Programming,Algorithms,Fibonacci,Code Based,
What is palindrom ,What is palindrom,Tech,Programming,Strings,Palindrome,Code Based,
Some 4 to 5 aptitude questions based on sequence and larger numbers ,Some 4 to 5 aptitude questions,Non-Tech,N/A,Aptitude,"Sequence, Larger Numbers",Theoretical,
1.Remove duplicates from a string,Remove duplicates from a string,Tech,Programming,Strings,N/A,Code Based,
2.Constructor overloading.,Constructor overloading,Tech,General Programming,Object-Oriented Programming,N/A,Theoretical,
3.Shallow Copy and deep copy,Shallow Copy and deep copy,Tech,General Programming,Object-Oriented Programming,N/A,Theoretical,
"4.Indexing , Sharding in mongodb","Indexing, Sharding in MongoDB",Tech,MongoDB,Database Management,"Indexing, Sharding",Theoretical,
5.collections and document in mongo.(half answered),Collections and document in MongoDB,Tech,MongoDB,Database Management,"Collections, Document",Theoretical,
6.details of capstone project,Details of capstone project,Non-Tech,N/A,Capstone Project,N/A,Theoretical,
7.Angular forms validation and data binding.,Angular forms validation and data binding,Tech,Angular,Front-end Development,"Forms Validation, Data Binding",Theoretical,
8.How communication happens between angular components.,How communication happens between Angular components,Tech,Angular,Front-end Development,Component Communication,Theoretical,
9. Can u write a method and override a method in the same class,Can you write a method and override a method in the same class,Tech,General Programming,Object-Oriented Programming,N/A,Theoretical,
10.Decorator in angular.,Decorator in Angular,Tech,Angular,Front-end Development,Decorators,Theoretical,
11.directives,Directives,Tech,Angular,Front-end Development,Directives,Theoretical,
Introduction,Introduction,HR,N/A,N/A,N/A,Theoretical,
1 ) write program for printing non repeating elements in an array ,Write a program for printing non-repeating elements in an array,Tech,Java,Arrays,N/A,Code Based,
write program for difference of two elements in array should match k = 2 so print that elements can have more than one combinations,"Write a program for the difference of two elements in the array, with a match of k = 2, and print the elements with more than one combination",Tech,N/A,Arrays,N/A,Code Based,
"Java basics: Oops concept all 4 Abstract , interface,","Java basics: Oops concept all 4 Abstract, interface, Abstract, interface, Method overloading, method overriding scenario-based questions.",Tech,Java,Object-Oriented Programming,Oops Concepts,Theoretical,
"Write a code to find non-repeating elements. (Use functional programming if possible and don't use any built in function like search/sort,etc",Write a code to find non-repeating elements using functional programming without using any built-in functions,Tech,N/A,Functional Programming,N/A,Code Based,
Given a coding question to identify the unique element in an array,Given a coding question to identify the unique element in an array,Tech,N/A,Arrays,N/A,Code Based,
Shallow copy & Deep copy,Shallow copy & Deep copy,Tech,N/A,Programming Concepts,Copying Techniques,Theoretical,
Collection and documents,Collection and documents,Tech,N/A,Database,Data Storage,Theoretical,
Primary key ,Primary key,Tech,N/A,Database,Data Storage,Theoretical,
Template,Template,Tech,N/A,N/A,N/A,Theoretical,
Directive,Directive,Tech,N/A,N/A,N/A,Theoretical,
React,React,Tech,React,N/A,N/A,Theoretical,
Docker,Docker,Tech,Docker,N/A,N/A,Theoretical,
Hoisting,Hoisting,Tech,JavaScript,N/A,N/A,Theoretical,
State and props,State and props,Tech,React,N/A,N/A,Theoretical,
Ques 1 : find the non repetitive element in the Array ?   ,Ques 1 : find the non-repetitive element in the Array?,Tech,N/A,Array Operations,N/A,Code Based,
Ques 2 : find distinct pair in array whose sum is equal to k ? ,Ques 2 : find distinct pair in array whose sum is equal to k?,Tech,N/A,Array Operations,N/A,Code Based,
Ques 3 : Operator Overloading in java ? ,Ques 3 : Operator Overloading in Java?,Tech,Java,Object-Oriented Programming,Operator Overloading,Theoretical,
Question 3 : Virtual classes in java ? ,Question 3 : Virtual classes in Java?,Tech,Java,Object-Oriented Programming,Virtual Classes,Theoretical,
Question 4 : controversy on mongodb and elastic search ?,Controversy on MongoDB and Elasticsearch?,Tech,"MongoDB, Elasticsearch",Database Systems,N/A,Theoretical,
Introduction,Introduction,HR,N/A,Personal Introduction,N/A,N/A,
About my Different Projects.,About my Different Projects,Tech,N/A,Project Experience,N/A,N/A,
What Tech Stack was used in those projects?,What Tech Stack was used in those projects?,Tech,N/A,Technology Stack,N/A,Theoretical,
What are expressjs and nodejs,What are Express.js and Node.js?,Tech,"Express.js, Node.js",Web Development,N/A,Theoretical,
OOPS concepts ( Polymorphism ),OOPS concepts (Polymorphism),Tech,Object-Oriented Programming,OOP Concepts,Polymorphism,Theoretical,
Static variable vs Dynamic variable,Static variable vs Dynamic variable,Tech,Programming Languages,Variables,N/A,Theoretical,
Relational Database vs Non-Relational Database,Relational Database vs Non-Relational Database,Tech,Database Systems,Database Systems,N/A,Theoretical,
"WAP to print numbers from 1 to 100 but print :
If div by 3 -> FIZZ
If div by 5 -> BUZZ
If div by both -> FIZZBUZZ",WAP to print numbers from 1 to 100 but print: If div by 3 -> FIZZ If div by 5 -> BUZZ If div by both -> FIZZBUZZ,Tech,N/A,Programming,N/A,Code Based,
"Given an array :[1,1,1,2,2,3,4,5,6,10]. Write a code to find non-repeating elements. (Use functional programming if possible and don't use any built in function like search/sort,etc ","Given an array: [1,1,1,2,2,3,4,5,6,10]. Write code to find non-repeating elements. (Use functional programming if possible and don't use any built-in function like search/sort, etc)",Tech,Programming,Arrays,N/A,Code Based,
Method overloading function signature ,Method overloading function signature,Tech,Programming,Method Overloading,N/A,Theoretical,
Virtual classes Front class ,Virtual classes Front class,Tech,N/A,Object-Oriented Programming,N/A,Theoretical,
What are Operator  ,What are Operator,Tech,N/A,Programming Concepts,N/A,Theoretical,
Operator overloading ,Operator overloading,Tech,N/A,Programming Concepts,N/A,Theoretical,
. Introduce?yourself  ,Introduce?yourself,HR,N/A,Personal,N/A,Theoretical,
Java Architecture ,Java Architecture,Tech,Java,Software Architecture,N/A,Theoretical,
3. Java Datatypes ,Java Datatypes,Tech,Java,Programming Concepts,Data Types,Theoretical,
4. Program - Given an array multiply even position elements and add odd position elements. ,Program - Given an array multiply even position elements...,Tech,N/A,Programming,Arrays,Code Based,
5. Program - Reverse all the Characters in a string except special characters. ,Program - Reverse all the Characters in a string except...,Tech,N/A,Programming,Strings,Code Based,
pillars of Java ,Pillars of Java,Tech,Java,Programming Concepts,N/A,Theoretical,
explain inheritance ,Explain inheritance,Tech,Object-Oriented,Inheritance,N/A,Theoretical,
explain interface ,Explain interface,Tech,Object-Oriented,Interface,N/A,Theoretical,
4)program to swap nos without using 3rd variable ,Program to swap numbers without using a 3rd variable,Tech,Programming (General),Swapping,N/A,Code Based,
5) javascript program add elements of an array ,JavaScript program to add elements of an array,Tech,JavaScript,Array Manipulation,Addition,Code Based,
6)? oops explain ,OOPs explain,Tech,Object-Oriented,Object-Oriented Design,N/A,Theoretical,
7) Java features!? ,Java features!?,Tech,Java,Programming Language,Features,Theoretical,
8) how abstraction can be done? ,How abstraction can be done?,Tech,Object-Oriented,Abstraction,N/A,Theoretical,
9) how multiple inheritance can be achieved explain ,"How multiple inheritance can be achieved, explain",Tech,Object-Oriented,Inheritance,Multiple Inheritance,Theoretical,
Explain the Collection Framework? ,Explain the Collection Framework?,Tech,Java,Collection Framework,N/A,Theoretical,
2. Explain Stream API? ,Explain Stream API?,Tech,Java,Stream API,N/A,Theoretical,
3. Difference between collection framework and stream api ,Difference between collection framework and stream API,Tech,Java,Collections and Stream API,N/A,Theoretical,
4. Explain the architecture of microservices? ,Explain the architecture of microservices?,Tech,Microservices,Architecture,N/A,Theoretical,
5. Why do we use abstract class explain? ,Why do we use abstract class explain?,Tech,Java,Object-Oriented Programming,Abstract Classes,Theoretical,
6. Do you know about Procedures and triggers in SQL? ,Do you know about Procedures and triggers in SQL?,Tech,SQL,Database,Procedures and Triggers,Theoretical,
"7. Write a program to reverse words in a string //i/p =""hello there alpha"" o/p = ""alpha there hello"" ","Write a program to reverse words in a string //i/p =""hello there alpha"" o/p = ""alpha there hello""",Tech,Programming (Language agnostic),String Manipulation,String Reversal,Code Based,
8. SQL Query on joining two tables. ,SQL Query on joining two tables.,Tech,SQL,Database,SQL Joins,Code Based,
. Syntax of promise,Syntax of promise,Tech,JavaScript (Node.js),Asynchronous Programming,Promises,Theoretical,
 2. What is bubble sort and write a program on bubble sort ?,What is bubble sort and write a program on bubble sort?,Tech,Programming (Language agnostic),Sorting Algorithms,Bubble Sort,Code Based,
Pillars of Java,Pillars of Java,Tech,Java,Language Fundamentals,Java Basics,Theoretical,
What is filter ? I explained in Java but syntax I couldn't able to recollect ,What is filter? I explained in Java but syntax I couldn't able to recollect,Tech,Java,Collections,Filter in Java,Theoretical,
Explain joins in SQL ?,Explain joins in SQL?,Tech,SQL,Database,SQL Joins,Theoretical,
How to get elements from Java script to HTML?,How to get elements from JavaScript to HTML?,Tech,JavaScript,Front-end Development,DOM Manipulation,Code Based,
Methodoveriding and method overloading!?,Method overriding and method overloading!?,Tech,Java,Object-Oriented Programming (OOP),Method Overriding/Overloading,Theoretical,
Interface and abstract class !?,Interface and abstract class!?,Tech,Java,Object-Oriented Programming (OOP),Interface and Abstract Class,Theoretical,
Multithreading !?,Multithreading!?,Tech,Java,Concurrency,Multithreading,Theoretical,
Question about self join ,Question about self join,Tech,SQL,Database,Joins,Theoretical,
Write query to fetch firstname of student from studnet table where roll nums are defined in ROLL_num table,Write a query to fetch the firstname of a student from the student table where roll numbers are defined in the ROLL_num table,Tech,SQL,Database,SQL Query,Code Based,
Multithreading ,Multithreading,Tech,Java,Concurrency,Multithreading,Theoretical,
Exception Handling,Exception Handling,Tech,General Programming,Software Development,Error Handling,Theoretical,
Recurssion ,Recursion,Tech,General Programming,Algorithms and Data Structures,Recursion,Theoretical,
Which are the types of data structures used in your project,Which are the types of data structures used in your project,Tech,N/A,Data Structures,N/A,Theoretical,
Difference between var and let,Difference between var and let,Tech,JavaScript,Programming Languages,Variables,Theoretical,
Add 7 days to a date input on pageload,Add 7 days to a date input on pageload,Tech,JavaScript,Date Manipulation,N/A,Code Based,
HTML AND CSS,HTML AND CSS,Tech,HTML and CSS,Web Development,N/A,Theoretical,
What are the ways to write style,What are the ways to write style,Tech,CSS,Web Development,Styling,Theoretical,
How to link external CSS in htm,How to link external CSS in HTML,Tech,HTML and CSS,Web Development,CSS Linking,Theoretical,
Previous Work Experience and project experience,Previous Work Experience and project experience,Non-Tech,N/A,Work Experience,N/A,Theoretical,
Write a Program to Reverse string,Write a Program to Reverse string,Tech,Programming Language,Programming,String Manipulation,Code Based,
Create array of objects using for loop,Create an array of objects using a for loop,Tech,JavaScript,Programming,Arrays,Code Based,
Create a class of employee and create 2 objects of it,Create a class of employee and create 2 objects of it,Tech,JavaScript,Object-Oriented Programming (OOP),Classes and Objects,Code Based,
Have you worked with SQL triggers projection ,Have you worked with SQL triggers projection,Tech,SQL,Database,Triggers,Theoretical,
For the first 100 numbers divide them into prime array and non-prime array. (Program in both java and javascript),For the first 100 numbers divide them into prime array and non-prime array. (Program in both java and javascript),Tech,"Java, JavaScript",Algorithms,Prime Numbers,Code Based,
"Create a web form with the use of HTML, CSS, JS. (Bootstrap/jquery can be used) 
Form will include fields: Employee Name, Employee Id, Employee Birthdate, Gender, Mobile Number, department. 
Rules: Use JS to format number > XXX-XXX-XXXX 
Use JS formatting for date > MM-DD-YYYY 
Department dropdown> value list> IT, HR, Management 
Give save button below form and one table when user click on save validate all the above fields as required and show it on table using JS function. 
Give filter table option just one search box above the table. When user starts typing it should show filtered records in table matching user input string. (Can use bootstrap table) 
The output should have the validation and search column. ","Create a web form with the use of HTML, CSS, JS. (Bootstrap/jquery can be used) Form will include fields: Employee Name, Employee Id, Employee Birthdate, Gender, Mobile Number, department. Rules: Use JS to format number > XXX-XXX-XXXX Use JS formatting for date > MM-DD-YYYY Department dropdown> value list> IT, HR, Management Give save button below form and one table when user click on save validate all the above fields as required and show it on table using JS function. Give filter table option just one search box above the table. When user starts typing it should show filtered records in table matching user input string. (Can use bootstrap table) The output should have the validation and search column.",Tech,"HTML, CSS, JavaScript, Bootstrap, jQuery",Web Development,"Form Validation, Filtering",Code Based,
